Frame,Time,[0][0],[0][1],[0][2],[0][3],[1][0],[1][1],[1][2],[1][3],[2][0],[2][1],[2][2],[2][3],[3][0],[3][1],[3][2],[3][3]
1,0.033333,2.222057e-002,9.979448e-001,6.010308e-002,0.000000e+000,-8.545627e-002,-5.800202e-002,9.946522e-001,0.000000e+000,9.960941e-001,-2.723794e-002,8.399180e-002,0.000000e+000,-5.621970e+000,6.335741e+001,1.012521e+002,1.000000e+000
2,0.066667,3.641295e-002,9.981268e-001,4.916268e-002,0.000000e+000,-6.507279e-003,-4.895746e-002,9.987796e-001,0.000000e+000,9.993156e-001,-3.668846e-002,4.712419e-003,0.000000e+000,-4.439881e-001,6.386229e+001,1.010254e+002,1.000000e+000
3,0.100000,4.927200e-002,9.980444e-001,3.846623e-002,0.000000e+000,6.911111e-002,-4.182759e-002,9.967316e-001,0.000000e+000,9.963914e-001,-4.645258e-002,-7.103691e-002,0.000000e+000,4.477105e+000,6.431902e+001,1.006655e+002,1.000000e+000
4,0.133333,6.041254e-002,9.977849e-001,2.785054e-002,0.000000e+000,1.394301e-001,-3.606345e-002,9.895749e-001,0.000000e+000,9.883874e-001,-5.589955e-002,-1.412999e-001,0.000000e+000,9.080801e+000,6.472928e+001,1.001775e+002,1.000000e+000
5,0.166667,6.958025e-002,9.974257e-001,1.733955e-002,0.000000e+000,2.031987e-001,-3.118816e-002,9.786407e-001,0.000000e+000,9.766621e-001,-6.457076e-002,-2.048458e-001,0.000000e+000,1.331828e+001,6.509786e+001,9.957294e+001,1.000000e+000
6,0.200000,7.665724e-002,9.970322e-001,7.104307e-003,0.000000e+000,2.598585e-001,-2.685737e-002,9.652731e-001,0.000000e+000,9.625992e-001,-7.214908e-002,-2.611461e-001,0.000000e+000,1.715895e+001,6.543169e+001,9.887099e+001,1.000000e+000
7,0.233333,8.161795e-002,9.966602e-001,-2.628334e-003,0.000000e+000,3.094383e-001,-2.283342e-002,9.506453e-001,0.000000e+000,9.474104e-001,-7.840307e-002,-3.102685e-001,0.000000e+000,2.059338e+001,6.573735e+001,9.809370e+001,1.000000e+000
8,0.266667,8.453485e-002,9.963524e-001,-1.165242e-002,0.000000e+000,3.523493e-001,-1.895207e-002,9.356766e-001,0.000000e+000,9.320428e-001,-8.320303e-002,-3.526661e-001,0.000000e+000,2.363414e+001,6.601948e+001,9.726065e+001,1.000000e+000
9,0.300000,8.550996e-002,9.961398e-001,-1.983887e-002,0.000000e+000,3.892762e-001,-1.507366e-002,9.209977e-001,0.000000e+000,9.171435e-001,-8.647729e-002,-3.890625e-001,0.000000e+000,2.631197e+001,6.628265e+001,9.638551e+001,1.000000e+000
10,0.333333,8.465166e-002,9.960399e-001,-2.717726e-002,0.000000e+000,4.212225e-001,-1.105422e-002,9.068899e-001,0.000000e+000,9.029981e-001,-8.821744e-002,-4.204902e-001,0.000000e+000,2.867727e+001,6.653385e+001,9.547460e+001,1.000000e+000
