Frame,Time,[0][0],[0][1],[0][2],[0][3],[1][0],[1][1],[1][2],[1][3],[2][0],[2][1],[2][2],[2][3],[3][0],[3][1],[3][2],[3][3]
1,0.033333,-3.997723e-002,1.976375e-001,9.794597e-001,0.000000e+000,9.991868e-001,1.306496e-002,3.814613e-002,0.000000e+000,-5.257493e-003,9.801882e-001,-1.979991e-001,0.000000e+000,-6.161638e+001,-5.620186e+001,1.019008e+001,1.000000e+000
2,0.066667,-3.843089e-002,2.456710e-001,9.685912e-001,0.000000e+000,9.992072e-001,1.952879e-002,3.469243e-002,0.000000e+000,-1.039249e-002,9.691566e-001,-2.462267e-001,0.000000e+000,-6.137818e+001,-5.604866e+001,1.079157e+001,1.000000e+000
3,0.100000,-3.770684e-002,2.909767e-001,9.559868e-001,0.000000e+000,9.991713e-001,2.564959e-002,3.160314e-002,0.000000e+000,-1.532489e-002,9.563864e-001,-2.917027e-001,0.000000e+000,-6.113985e+001,-5.595226e+001,1.129705e+001,1.000000e+000
4,0.133333,-3.785175e-002,3.327908e-001,9.422407e-001,0.000000e+000,9.990855e-001,3.136539e-002,2.905737e-002,0.000000e+000,-1.988372e-002,9.424790e-001,-3.336737e-001,0.000000e+000,-6.090522e+001,-5.589661e+001,1.168661e+001,1.000000e+000
5,0.166667,-3.885156e-002,3.707479e-001,9.279206e-001,0.000000e+000,9.989572e-001,3.669815e-002,2.716321e-002,0.000000e+000,-2.398227e-002,9.280083e-001,-3.717870e-001,0.000000e+000,-6.067835e+001,-5.586809e+001,1.196013e+001,1.000000e+000
6,0.200000,-4.058570e-002,4.047129e-001,9.135427e-001,0.000000e+000,9.987953e-001,4.167101e-002,2.591235e-002,0.000000e+000,-2.758119e-002,9.134939e-001,-4.059166e-001,0.000000e+000,-6.046518e+001,-5.585558e+001,1.212967e+001,1.000000e+000
7,0.233333,-4.284068e-002,4.349384e-001,8.994406e-001,0.000000e+000,9.986117e-001,4.625572e-002,2.519659e-002,0.000000e+000,-3.064530e-002,8.992715e-001,-4.363162e-001,0.000000e+000,-6.027487e+001,-5.584122e+001,1.222655e+001,1.000000e+000
8,0.266667,-4.540838e-002,4.619726e-001,8.857310e-001,0.000000e+000,9.984182e-001,5.041439e-002,2.489074e-002,0.000000e+000,-3.315475e-002,8.854603e-001,-4.635311e-001,0.000000e+000,-6.011689e+001,-5.580323e+001,1.229045e+001,1.000000e+000
9,0.300000,-4.813168e-002,4.864579e-001,8.723772e-001,0.000000e+000,9.982237e-001,5.412634e-002,2.489291e-002,0.000000e+000,-3.510923e-002,8.720260e-001,-4.881990e-001,0.000000e+000,-5.999865e+001,-5.572149e+001,1.235552e+001,1.000000e+000
10,0.333333,-5.090502e-002,5.089931e-001,8.592641e-001,0.000000e+000,9.980347e-001,5.740871e-002,2.511959e-002,0.000000e+000,-3.654354e-002,8.588541e-001,-5.109152e-001,0.000000e+000,-5.992340e+001,-5.558428e+001,1.244108e+001,1.000000e+000
11,0.366667,-5.364083e-002,5.299739e-001,8.463157e-001,0.000000e+000,9.978548e-001,6.030134e-002,2.548416e-002,0.000000e+000,-3.752803e-002,8.458673e-001,-5.320717e-001,0.000000e+000,-5.989038e+001,-5.539415e+001,1.254515e+001,1.000000e+000
12,0.400000,-5.625002e-002,5.495439e-001,8.335690e-001,0.000000e+000,9.976872e-001,6.284753e-002,2.589162e-002,0.000000e+000,-3.815919e-002,8.330976e-001,-5.518082e-001,0.000000e+000,-5.989518e+001,-5.517037e+001,1.264403e+001,1.000000e+000
13,0.433333,-5.869545e-002,5.677777e-001,8.210867e-001,0.000000e+000,9.975331e-001,6.508219e-002,2.630472e-002,0.000000e+000,-3.850289e-002,8.206052e-001,-5.701971e-001,0.000000e+000,-5.993130e+001,-5.493775e+001,1.270678e+001,1.000000e+000
14,0.466667,-6.100960e-002,5.847775e-001,8.088962e-001,0.000000e+000,9.973899e-001,6.706990e-002,2.673942e-002,0.000000e+000,-3.861597e-002,8.084164e-001,-5.873432e-001,0.000000e+000,-5.999148e+001,-5.472099e+001,1.270901e+001,1.000000e+000
15,0.500000,-6.327154e-002,6.006423e-001,7.970104e-001,0.000000e+000,9.972510e-001,6.891124e-002,2.723504e-002,0.000000e+000,-3.856446e-002,7.965426e-001,-6.033513e-001,0.000000e+000,-6.006730e+001,-5.454214e+001,1.263706e+001,1.000000e+000
16,0.533333,-6.557789e-002,6.154404e-001,7.854506e-001,0.000000e+000,9.971068e-001,7.073916e-002,2.782154e-002,0.000000e+000,-3.843963e-002,7.850028e-001,-6.182987e-001,0.000000e+000,-6.014776e+001,-5.441809e+001,1.249136e+001,1.000000e+000
17,0.566667,-6.800629e-002,6.291949e-001,7.742668e-001,0.000000e+000,9.969469e-001,7.270039e-002,2.848627e-002,0.000000e+000,-3.836608e-002,7.738401e-001,-6.322180e-001,0.000000e+000,-6.021905e+001,-5.435746e+001,1.228906e+001,1.000000e+000
18,0.600000,-7.055133e-002,6.418105e-001,7.636110e-001,0.000000e+000,9.967669e-001,7.486651e-002,2.916816e-002,0.000000e+000,-3.844845e-002,7.632002e-001,-6.450174e-001,0.000000e+000,-6.027084e+001,-5.435801e+001,1.205626e+001,1.000000e+000
19,0.633333,-7.306180e-002,6.530437e-001,7.537878e-001,1.734723e-018,9.965755e-001,7.714862e-002,2.975663e-002,2.168404e-019,-3.872133e-002,7.533805e-001,-6.564439e-001,1.734723e-018,-6.030252e+001,-5.440501e+001,1.182024e+001,1.000000e+000
20,0.666667,-7.525925e-002,6.625831e-001,7.451978e-001,0.000000e+000,9.963948e-001,7.931679e-002,3.010472e-002,0.000000e+000,-3.915983e-002,7.447768e-001,-6.661636e-001,0.000000e+000,-6.032201e+001,-5.447534e+001,1.160713e+001,1.000000e+000
21,0.700000,-7.687340e-002,6.701431e-001,7.382404e-001,0.000000e+000,9.962498e-001,8.111672e-002,3.010582e-002,0.000000e+000,-3.970844e-002,7.377862e-001,-6.738655e-001,0.000000e+000,-6.034037e+001,-5.454474e+001,1.143819e+001,1.000000e+000
22,0.733333,-7.777465e-002,6.755383e-001,7.332116e-001,0.000000e+000,9.961558e-001,8.239049e-002,2.975642e-002,0.000000e+000,-4.030807e-002,7.327074e-001,-6.793492e-001,0.000000e+000,-6.036610e+001,-5.459547e+001,1.132684e+001,1.000000e+000
23,0.766667,-7.796926e-002,6.786472e-001,7.303143e-001,0.000000e+000,9.961155e-001,8.309989e-002,2.912568e-002,0.000000e+000,-4.092299e-002,7.297483e-001,-6.824901e-001,0.000000e+000,-6.040311e+001,-5.462076e+001,1.127936e+001,1.000000e+000
24,0.800000,-7.754626e-002,6.793836e-001,7.296744e-001,0.000000e+000,9.961225e-001,8.330049e-002,2.830387e-002,0.000000e+000,-4.155306e-002,7.290399e-001,-6.832088e-001,0.000000e+000,-6.045114e+001,-5.462556e+001,1.129575e+001,1.000000e+000
25,0.833333,-7.660247e-002,6.776453e-001,7.313884e-001,0.000000e+000,9.961678e-001,8.306962e-002,2.736878e-002,0.000000e+000,-4.220983e-002,7.306823e-001,-6.814117e-001,0.000000e+000,-6.050791e+001,-5.462069e+001,1.136966e+001,1.000000e+000
