Frame,Time,[0][0],[0][1],[0][2],[0][3],[1][0],[1][1],[1][2],[1][3],[2][0],[2][1],[2][2],[2][3],[3][0],[3][1],[3][2],[3][3]
1,0.033333,-5.349615e-002,3.835903e-001,9.219527e-001,0.000000e+000,9.922618e-001,1.240202e-001,5.975651e-003,0.000000e+000,-1.120485e-001,9.151379e-001,-3.872565e-001,0.000000e+000,-5.698291e+001,2.308718e+001,6.592616e+000,1.000000e+000
2,0.066667,-5.317244e-002,3.864655e-001,9.207699e-001,0.000000e+000,9.923618e-001,1.232358e-001,5.582185e-003,0.000000e+000,-1.113145e-001,9.140335e-001,-3.900663e-001,0.000000e+000,-5.695548e+001,2.302013e+001,6.217282e+000,1.000000e+000
3,0.100000,-5.323501e-002,3.882656e-001,9.200086e-001,0.000000e+000,9.924148e-001,1.228076e-001,5.596928e-003,0.000000e+000,-1.108110e-001,9.133280e-001,-3.918582e-001,0.000000e+000,-5.691686e+001,2.292836e+001,5.889743e+000,1.000000e+000
4,0.133333,-5.351968e-002,3.890002e-001,9.196817e-001,0.000000e+000,9.924322e-001,1.226537e-001,5.874158e-003,0.000000e+000,-1.105173e-001,9.130361e-001,-3.926207e-001,0.000000e+000,-5.686901e+001,2.281928e+001,5.625639e+000,1.000000e+000
5,0.166667,-5.384056e-002,3.888079e-001,9.197443e-001,0.000000e+000,9.924305e-001,1.226492e-001,6.247426e-003,0.000000e+000,-1.103769e-001,9.131186e-001,-3.924683e-001,0.000000e+000,-5.681606e+001,2.270378e+001,5.435396e+000,1.000000e+000
6,0.200000,-5.409072e-002,3.879257e-001,9.201021e-001,0.000000e+000,9.924245e-001,1.226777e-001,6.620063e-003,0.000000e+000,-1.103079e-001,9.134899e-001,-3.916227e-001,0.000000e+000,-5.676292e+001,2.259413e+001,5.320316e+000,1.000000e+000
7,0.233333,-5.425037e-002,3.866747e-001,9.206191e-001,0.000000e+000,9.924260e-001,1.226463e-001,6.968402e-003,0.000000e+000,-1.102161e-001,9.140244e-001,-3.903996e-001,0.000000e+000,-5.671280e+001,2.250505e+001,5.275169e+000,1.000000e+000
8,0.266667,-5.435902e-002,3.854361e-001,9.211320e-001,0.000000e+000,9.924417e-001,1.225003e-001,7.308519e-003,0.000000e+000,-1.100220e-001,9.145669e-001,-3.891818e-001,0.000000e+000,-5.666555e+001,2.245318e+001,5.292146e+000,1.000000e+000
9,0.300000,-5.445911e-002,3.845451e-001,9.214985e-001,0.000000e+000,9.924695e-001,1.222541e-001,7.636260e-003,0.000000e+000,-1.097205e-001,9.149749e-001,-3.883071e-001,0.000000e+000,-5.661935e+001,2.245035e+001,5.366605e+000,1.000000e+000
10,0.333333,-5.455833e-002,3.842055e-001,9.216341e-001,0.000000e+000,9.925029e-001,1.219651e-001,7.909452e-003,0.000000e+000,-1.093684e-001,9.151561e-001,-3.879793e-001,0.000000e+000,-5.657329e+001,2.249977e+001,5.496835e+000,1.000000e+000
