Frame,Time,[0][0],[0][1],[0][2],[0][3],[1][0],[1][1],[1][2],[1][3],[2][0],[2][1],[2][2],[2][3],[3][0],[3][1],[3][2],[3][3]
1,0.033333,-5.349615e-002,9.922616e-001,-1.120485e-001,0.000000e+000,3.835903e-001,1.240201e-001,9.151380e-001,0.000000e+000,9.219526e-001,5.975643e-003,-3.872565e-001,0.000000e+000,-1.798246e+001,5.363929e+001,-2.495977e+001,1.000000e+000
2,0.066667,-5.317244e-002,9.923616e-001,-1.113145e-001,0.000000e+000,3.864654e-001,1.232358e-001,9.140336e-001,0.000000e+000,9.207698e-001,5.582179e-003,-3.900663e-001,0.000000e+000,-1.764963e+001,5.364882e+001,-2.495599e+001,1.000000e+000
3,0.100000,-5.323501e-002,9.924147e-001,-1.108110e-001,0.000000e+000,3.882656e-001,1.228076e-001,9.133281e-001,0.000000e+000,9.200086e-001,5.596924e-003,-3.918582e-001,0.000000e+000,-1.735088e+001,5.363639e+001,-2.494018e+001,1.000000e+000
4,0.133333,-5.351968e-002,9.924321e-001,-1.105173e-001,0.000000e+000,3.890002e-001,1.226536e-001,9.130360e-001,0.000000e+000,9.196817e-001,5.874160e-003,-3.926207e-001,0.000000e+000,-1.709412e+001,5.360672e+001,-2.491109e+001,1.000000e+000
5,0.166667,-5.384056e-002,9.924303e-001,-1.103768e-001,0.000000e+000,3.888079e-001,1.226492e-001,9.131186e-001,0.000000e+000,9.197443e-001,6.247419e-003,-3.924683e-001,0.000000e+000,-1.688559e+001,5.356742e+001,-2.486920e+001,1.000000e+000
6,0.200000,-5.409072e-002,9.924244e-001,-1.103079e-001,0.000000e+000,3.879257e-001,1.226777e-001,9.134899e-001,0.000000e+000,9.201021e-001,6.620060e-003,-3.916227e-001,0.000000e+000,-1.673042e+001,5.352589e+001,-2.481735e+001,1.000000e+000
7,0.233333,-5.425037e-002,9.924259e-001,-1.102161e-001,0.000000e+000,3.866747e-001,1.226463e-001,9.140244e-001,0.000000e+000,9.206191e-001,6.968407e-003,-3.903996e-001,0.000000e+000,-1.663524e+001,5.348634e+001,-2.476140e+001,1.000000e+000
8,0.266667,-5.435902e-002,9.924415e-001,-1.100220e-001,0.000000e+000,3.854361e-001,1.225003e-001,9.145669e-001,0.000000e+000,9.211320e-001,7.308508e-003,-3.891818e-001,0.000000e+000,-1.660931e+001,5.344804e+001,-2.470978e+001,1.000000e+000
9,0.300000,-5.445911e-002,9.924694e-001,-1.097205e-001,0.000000e+000,3.845450e-001,1.222541e-001,9.149749e-001,0.000000e+000,9.214984e-001,7.636259e-003,-3.883070e-001,0.000000e+000,-1.666193e+001,5.340734e+001,-2.466991e+001,1.000000e+000
10,0.333333,-5.455833e-002,9.925028e-001,-1.093684e-001,0.000000e+000,3.842055e-001,1.219651e-001,9.151561e-001,0.000000e+000,9.216341e-001,7.909453e-003,-3.879793e-001,0.000000e+000,-1.679715e+001,5.336148e+001,-2.464547e+001,1.000000e+000
11,0.366667,-5.467109e-002,9.925317e-001,-1.090494e-001,0.000000e+000,3.845116e-001,1.217175e-001,9.150605e-001,0.000000e+000,9.214998e-001,8.096597e-003,-3.882943e-001,0.000000e+000,-1.700930e+001,5.331281e+001,-2.463707e+001,1.000000e+000
12,0.400000,-5.481534e-002,9.925464e-001,-1.088428e-001,0.000000e+000,3.854497e-001,1.215915e-001,9.146824e-001,0.000000e+000,9.210992e-001,8.185190e-003,-3.892418e-001,0.000000e+000,-1.728044e+001,5.326716e+001,-2.464357e+001,1.000000e+000
13,0.433333,-5.499471e-002,9.925414e-001,-1.087978e-001,0.000000e+000,3.868876e-001,1.216327e-001,9.140698e-001,0.000000e+000,9.204855e-001,8.176501e-003,-3.906911e-001,0.000000e+000,-1.757913e+001,5.323089e+001,-2.466237e+001,1.000000e+000
14,0.466667,-5.520033e-002,9.925155e-001,-1.089304e-001,0.000000e+000,3.885998e-001,1.218505e-001,9.133141e-001,0.000000e+000,9.197516e-001,8.084908e-003,-3.924175e-001,0.000000e+000,-1.786609e+001,5.320937e+001,-2.468798e+001,1.000000e+000
15,0.500000,-5.541855e-002,9.924706e-001,-1.092279e-001,0.000000e+000,3.903254e-001,1.222251e-001,9.125279e-001,0.000000e+000,9.190075e-001,7.936543e-003,-3.941600e-001,0.000000e+000,-1.810246e+001,5.320628e+001,-2.471146e+001,1.000000e+000
16,0.533333,-5.563246e-002,9.924101e-001,-1.096683e-001,0.000000e+000,3.918770e-001,1.227276e-001,9.117951e-001,0.000000e+000,9.183341e-001,7.748948e-003,-3.957303e-001,0.000000e+000,-1.826023e+001,5.322326e+001,-2.472520e+001,1.000000e+000
17,0.566667,-5.582909e-002,9.923368e-001,-1.102304e-001,0.000000e+000,3.931684e-001,1.233326e-001,9.111573e-001,0.000000e+000,9.177699e-001,7.529986e-003,-3.970411e-001,0.000000e+000,-1.832868e+001,5.325838e+001,-2.472724e+001,1.000000e+000
18,0.600000,-5.603241e-002,9.922541e-001,-1.108692e-001,0.000000e+000,3.941584e-001,1.240079e-001,9.106378e-001,0.000000e+000,9.173328e-001,7.325203e-003,-3.980538e-001,0.000000e+000,-1.831447e+001,5.330730e+001,-2.471878e+001,1.000000e+000
19,0.633333,-5.631061e-002,9.921660e-001,-1.115145e-001,0.000000e+000,3.947967e-001,1.247160e-001,9.102645e-001,0.000000e+000,9.170412e-001,7.231987e-003,-3.987267e-001,0.000000e+000,-1.824021e+001,5.336425e+001,-2.470083e+001,1.000000e+000
20,0.666667,-5.669962e-002,9.920721e-001,-1.121515e-001,0.000000e+000,3.950268e-001,1.254574e-001,9.100628e-001,0.000000e+000,9.169182e-001,7.297344e-003,-3.990085e-001,0.000000e+000,-1.813754e+001,5.342171e+001,-2.467426e+001,1.000000e+000
21,0.700000,-5.718359e-002,9.919680e-001,-1.128244e-001,0.000000e+000,3.948225e-001,1.262662e-001,9.100396e-001,0.000000e+000,9.169761e-001,7.493725e-003,-3.988716e-001,0.000000e+000,-1.803782e+001,5.347361e+001,-2.464076e+001,1.000000e+000
22,0.733333,-5.770201e-002,9.918519e-001,-1.135788e-001,0.000000e+000,3.942451e-001,1.271603e-001,9.101654e-001,0.000000e+000,9.171920e-001,7.740494e-003,-3.983702e-001,0.000000e+000,-1.796376e+001,5.351746e+001,-2.460410e+001,1.000000e+000
23,0.766667,-5.816781e-002,9.917338e-001,-1.143697e-001,0.000000e+000,3.934823e-001,1.280652e-001,9.103686e-001,0.000000e+000,9.174901e-001,7.951695e-003,-3.976790e-001,0.000000e+000,-1.792394e+001,5.355201e+001,-2.457035e+001,1.000000e+000
24,0.800000,-5.850717e-002,9.916282e-001,-1.151098e-001,0.000000e+000,3.927381e-001,1.288731e-001,9.105759e-001,0.000000e+000,9.177874e-001,8.067224e-003,-3.969902e-001,0.000000e+000,-1.791192e+001,5.357877e+001,-2.454348e+001,1.000000e+000
25,0.833333,-5.869742e-002,9.915437e-001,-1.157394e-001,0.000000e+000,3.921104e-001,1.295213e-001,9.107544e-001,0.000000e+000,9.180436e-001,8.076336e-003,-3.963971e-001,0.000000e+000,-1.791184e+001,5.360273e+001,-2.452388e+001,1.000000e+000
26,0.866667,-5.875622e-002,9.914857e-001,-1.162052e-001,0.000000e+000,3.916503e-001,1.299684e-001,9.108887e-001,0.000000e+000,9.182362e-001,8.008597e-003,-3.959521e-001,0.000000e+000,-1.790886e+001,5.362682e+001,-2.451031e+001,1.000000e+000
27,0.900000,-5.874946e-002,9.914504e-001,-1.165091e-001,0.000000e+000,3.913729e-001,1.302426e-001,9.109687e-001,0.000000e+000,9.183549e-001,7.920414e-003,-3.956786e-001,0.000000e+000,-1.789535e+001,5.365076e+001,-2.450148e+001,1.000000e+000
28,0.933333,-5.873615e-002,9.914277e-001,-1.167094e-001,0.000000e+000,3.912356e-001,1.304202e-001,9.110023e-001,0.000000e+000,9.184142e-001,7.847890e-003,-3.955422e-001,0.000000e+000,-1.787216e+001,5.367363e+001,-2.449616e+001,1.000000e+000
29,0.966667,-5.871130e-002,9.914082e-001,-1.168875e-001,0.000000e+000,3.911327e-001,1.305731e-001,9.110246e-001,0.000000e+000,9.184597e-001,7.768941e-003,-3.954382e-001,0.000000e+000,-1.784694e+001,5.369641e+001,-2.449298e+001,1.000000e+000
30,1.000000,-5.862593e-002,9.913890e-001,-1.170928e-001,0.000000e+000,3.909424e-001,1.307265e-001,9.110843e-001,0.000000e+000,9.185461e-001,7.636614e-003,-3.952400e-001,0.000000e+000,-1.782800e+001,5.372284e+001,-2.449050e+001,1.000000e+000
31,1.033333,-5.843960e-002,9.913706e-001,-1.173414e-001,0.000000e+000,3.905608e-001,1.308782e-001,9.112262e-001,0.000000e+000,9.187204e-001,7.422738e-003,-3.948390e-001,0.000000e+000,-1.782191e+001,5.375765e+001,-2.448728e+001,1.000000e+000
32,1.066667,-5.815705e-002,9.913534e-001,-1.176267e-001,0.000000e+000,3.899203e-001,1.310239e-001,9.114795e-001,0.000000e+000,9.190103e-001,7.143924e-003,-3.941688e-001,0.000000e+000,-1.783328e+001,5.380452e+001,-2.448207e+001,1.000000e+000
33,1.100000,-5.779549e-002,9.913403e-001,-1.179145e-001,0.000000e+000,3.889973e-001,1.311391e-001,9.118572e-001,0.000000e+000,9.194241e-001,6.832794e-003,-3.932080e-001,0.000000e+000,-1.786636e+001,5.386542e+001,-2.447448e+001,1.000000e+000
34,1.133333,-5.733327e-002,9.913397e-001,-1.181449e-001,0.000000e+000,3.878254e-001,1.311611e-001,9.123531e-001,0.000000e+000,9.199480e-001,6.488578e-003,-3.919867e-001,0.000000e+000,-1.792649e+001,5.393988e+001,-2.446614e+001,1.000000e+000
35,1.166667,-5.669673e-002,9.913612e-001,-1.182721e-001,0.000000e+000,3.864939e-001,1.310200e-001,9.129382e-001,0.000000e+000,9.205477e-001,6.049152e-003,-3.905835e-001,0.000000e+000,-1.801986e+001,5.402419e+001,-2.446137e+001,1.000000e+000
36,1.200000,-5.585058e-002,9.914085e-001,-1.182787e-001,0.000000e+000,3.850912e-001,1.306873e-001,9.135785e-001,0.000000e+000,9.211870e-001,5.475778e-003,-3.890817e-001,0.000000e+000,-1.814923e+001,5.411238e+001,-2.446406e+001,1.000000e+000
37,1.233333,-5.486498e-002,9.914774e-001,-1.181625e-001,0.000000e+000,3.836911e-001,1.301895e-001,9.142384e-001,0.000000e+000,9.218302e-001,4.821760e-003,-3.875639e-001,0.000000e+000,-1.831053e+001,5.419754e+001,-2.447497e+001,1.000000e+000
38,1.266667,-5.388464e-002,9.915581e-001,-1.179349e-001,0.000000e+000,3.824362e-001,1.295940e-001,9.148486e-001,0.000000e+000,9.224093e-001,4.193711e-003,-3.861909e-001,0.000000e+000,-1.849522e+001,5.427239e+001,-2.449424e+001,1.000000e+000
39,1.300000,-5.309827e-002,9.916368e-001,-1.176310e-001,0.000000e+000,3.815107e-001,1.290062e-001,9.153179e-001,0.000000e+000,9.228381e-001,3.724315e-003,-3.851701e-001,0.000000e+000,-1.869220e+001,5.433046e+001,-2.452223e+001,1.000000e+000
40,1.333333,-5.268318e-002,9.916966e-001,-1.173121e-001,0.000000e+000,3.810464e-001,1.285502e-001,9.155755e-001,0.000000e+000,9.230537e-001,3.534058e-003,-3.846549e-001,0.000000e+000,-1.888819e+001,5.436767e+001,-2.455894e+001,1.000000e+000
41,1.366667,-5.269351e-002,9.917301e-001,-1.170241e-001,0.000000e+000,3.810080e-001,1.282882e-001,9.156282e-001,0.000000e+000,9.230689e-001,3.660532e-003,-3.846171e-001,0.000000e+000,-1.906870e+001,5.438321e+001,-2.460346e+001,1.000000e+000
42,1.400000,-5.307744e-002,9.917397e-001,-1.167690e-001,0.000000e+000,3.812523e-001,1.282014e-001,9.155387e-001,0.000000e+000,9.229460e-001,4.076011e-003,-3.849077e-001,0.000000e+000,-1.922240e+001,5.437994e+001,-2.465450e+001,1.000000e+000
43,1.433333,-5.369367e-002,9.917344e-001,-1.165311e-001,0.000000e+000,3.816056e-001,1.282209e-001,9.153888e-001,0.000000e+000,9.227644e-001,4.681659e-003,-3.853361e-001,0.000000e+000,-1.934208e+001,5.436276e+001,-2.470969e+001,1.000000e+000
44,1.466667,-5.436584e-002,9.917246e-001,-1.163035e-001,0.000000e+000,3.818998e-001,1.282716e-001,9.152589e-001,0.000000e+000,9.226032e-001,5.342545e-003,-3.857130e-001,0.000000e+000,-1.942394e+001,5.433783e+001,-2.476504e+001,1.000000e+000
45,1.500000,-5.495182e-002,9.917161e-001,-1.161003e-001,0.000000e+000,3.820405e-001,1.283111e-001,9.151947e-001,0.000000e+000,9.225103e-001,5.936590e-003,-3.859267e-001,0.000000e+000,-1.946849e+001,5.431154e+001,-2.481613e+001,1.000000e+000
46,1.533333,-5.537160e-002,9.917144e-001,-1.159160e-001,0.000000e+000,3.819361e-001,1.283023e-001,9.152395e-001,0.000000e+000,9.225284e-001,6.405782e-003,-3.858758e-001,0.000000e+000,-1.948114e+001,5.428729e+001,-2.485844e+001,1.000000e+000
47,1.566667,-5.559171e-002,9.917229e-001,-1.157373e-001,0.000000e+000,3.815120e-001,1.282193e-001,9.154280e-001,0.000000e+000,9.226907e-001,6.735045e-003,-3.854821e-001,0.000000e+000,-1.947067e+001,5.426629e+001,-2.488931e+001,1.000000e+000
48,1.600000,-5.561638e-002,9.917399e-001,-1.155796e-001,0.000000e+000,3.807273e-001,1.280775e-001,9.157745e-001,0.000000e+000,9.230133e-001,6.927751e-003,-3.847057e-001,0.000000e+000,-1.944814e+001,5.424880e+001,-2.490744e+001,1.000000e+000
49,1.633333,-5.548482e-002,9.917559e-001,-1.155052e-001,0.000000e+000,3.795862e-001,1.279496e-001,9.162659e-001,0.000000e+000,9.234910e-001,6.994675e-003,-3.835562e-001,0.000000e+000,-1.942599e+001,5.423483e+001,-2.491225e+001,1.000000e+000
50,1.666667,-5.525948e-002,9.917602e-001,-1.155766e-001,0.000000e+000,3.781598e-001,1.279185e-001,9.168599e-001,0.000000e+000,9.240896e-001,6.958786e-003,-3.821125e-001,0.000000e+000,-1.941467e+001,5.422430e+001,-2.490517e+001,1.000000e+000
51,1.700000,-5.501391e-002,9.917461e-001,-1.158143e-001,0.000000e+000,3.765788e-001,1.280328e-001,9.174944e-001,0.000000e+000,9.247496e-001,6.861744e-003,-3.805142e-001,0.000000e+000,-1.941898e+001,5.421707e+001,-2.489059e+001,1.000000e+000
52,1.733333,-5.482193e-002,9.917090e-001,-1.162224e-001,0.000000e+000,3.749522e-001,1.283256e-001,9.181194e-001,0.000000e+000,9.254218e-001,6.755231e-003,-3.788785e-001,0.000000e+000,-1.943687e+001,5.421305e+001,-2.487362e+001,1.000000e+000
53,1.766667,-5.473955e-002,9.916462e-001,-1.167961e-001,0.000000e+000,3.733930e-001,1.288144e-001,9.186863e-001,0.000000e+000,9.260568e-001,6.677627e-003,-3.773250e-001,0.000000e+000,-1.946284e+001,5.421272e+001,-2.485961e+001,1.000000e+000
54,1.800000,-5.479349e-002,9.915583e-001,-1.175148e-001,0.000000e+000,3.720287e-001,1.294910e-001,9.191445e-001,0.000000e+000,9.266025e-001,6.644260e-003,-3.759834e-001,0.000000e+000,-1.949133e+001,5.421721e+001,-2.485340e+001,1.000000e+000
55,1.833333,-5.498685e-002,9.914500e-001,-1.183345e-001,0.000000e+000,3.708686e-001,1.303153e-001,9.194968e-001,0.000000e+000,9.270561e-001,6.673664e-003,-3.748634e-001,0.000000e+000,-1.951826e+001,5.422696e+001,-2.485582e+001,1.000000e+000
56,1.866667,-5.528648e-002,9.913334e-001,-1.191695e-001,0.000000e+000,3.698319e-001,1.311946e-001,9.197893e-001,0.000000e+000,9.274523e-001,6.779213e-003,-3.738800e-001,0.000000e+000,-1.954237e+001,5.424083e+001,-2.486441e+001,1.000000e+000
57,1.900000,-5.564233e-002,9.912242e-001,-1.199096e-001,0.000000e+000,3.688099e-001,1.320067e-001,9.200834e-001,0.000000e+000,9.278379e-001,6.971738e-003,-3.729185e-001,0.000000e+000,-1.956379e+001,5.425684e+001,-2.487572e+001,1.000000e+000
58,1.933333,-5.601430e-002,9.911398e-001,-1.204329e-001,0.000000e+000,3.677095e-001,1.326228e-001,9.204352e-001,0.000000e+000,9.282522e-001,7.273211e-003,-3.718803e-001,0.000000e+000,-1.958202e+001,5.427311e+001,-2.488690e+001,1.000000e+000
59,1.966667,-5.638213e-002,9.911002e-001,-1.205873e-001,0.000000e+000,3.664798e-001,1.328929e-001,9.208865e-001,0.000000e+000,9.287161e-001,7.728719e-003,-3.707110e-001,0.000000e+000,-1.959520e+001,5.428805e+001,-2.489601e+001,1.000000e+000
60,2.000000,-5.671239e-002,9.911217e-001,-1.202551e-001,0.000000e+000,3.651548e-001,1.326949e-001,9.214412e-001,0.000000e+000,9.292178e-001,8.345406e-003,-3.694383e-001,0.000000e+000,-1.960011e+001,5.429821e+001,-2.490307e+001,1.000000e+000
61,2.033333,-5.693876e-002,9.912086e-001,-1.194297e-001,0.000000e+000,3.638709e-001,1.319989e-001,9.220489e-001,0.000000e+000,9.297074e-001,9.043309e-003,-3.681879e-001,0.000000e+000,-1.959280e+001,5.429695e+001,-2.491054e+001,1.000000e+000
62,2.066667,-5.703233e-002,9.913497e-001,-1.182074e-001,0.000000e+000,3.627689e-001,1.308848e-001,9.226418e-001,0.000000e+000,9.301323e-001,9.738438e-003,-3.670955e-001,0.000000e+000,-1.957025e+001,5.427787e+001,-2.492155e+001,1.000000e+000
63,2.100000,-5.706290e-002,9.915199e-001,-1.167564e-001,0.000000e+000,3.618981e-001,1.295359e-001,9.231740e-001,0.000000e+000,9.304695e-001,1.042506e-002,-3.662209e-001,0.000000e+000,-1.953205e+001,5.423871e+001,-2.493756e+001,1.000000e+000
64,2.133333,-5.712726e-002,9.916911e-001,-1.152606e-001,0.000000e+000,3.612524e-001,1.281591e-001,9.236189e-001,0.000000e+000,9.307165e-001,1.112565e-002,-3.655722e-001,0.000000e+000,-1.947906e+001,5.418175e+001,-2.495719e+001,1.000000e+000
65,2.166667,-5.725402e-002,9.918461e-001,-1.138556e-001,0.000000e+000,3.608249e-001,1.268915e-001,9.239610e-001,0.000000e+000,9.308745e-001,1.181854e-002,-3.651479e-001,0.000000e+000,-1.941096e+001,5.411220e+001,-2.497681e+001,1.000000e+000
66,2.200000,-5.739846e-002,9.919800e-001,-1.126097e-001,0.000000e+000,3.606252e-001,1.257809e-001,9.241908e-001,0.000000e+000,9.309430e-001,1.243724e-002,-3.649526e-001,0.000000e+000,-1.932509e+001,5.403638e+001,-2.499216e+001,1.000000e+000
67,2.233333,-5.747748e-002,9.920983e-001,-1.115224e-001,0.000000e+000,3.606738e-001,1.247974e-001,9.243051e-001,0.000000e+000,9.309193e-001,1.290355e-002,-3.649968e-001,0.000000e+000,-1.921703e+001,5.396066e+001,-2.499968e+001,1.000000e+000
68,2.266667,-5.743720e-002,9.922093e-001,-1.105509e-001,0.000000e+000,3.609813e-001,1.238820e-001,9.243083e-001,0.000000e+000,9.308025e-001,1.318287e-002,-3.652844e-001,0.000000e+000,-1.908425e+001,5.389154e+001,-2.499708e+001,1.000000e+000
